Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,165.000000,165.449997,163.000000,164.369995,158.915833,8718600
2022-04-05,165.029999,167.720001,163.100006,163.360001,157.939346,9538200
2022-04-06,164.830002,167.009995,164.330002,164.809998,159.341232,9269000
2022-04-07,165.100006,167.699997,163.419998,167.100006,161.555252,8018400
2022-04-08,167.050003,171.100006,167.020004,169.929993,164.291336,10801200
2022-04-11,168.570007,168.779999,164.910004,165.559998,160.066360,10206100
2022-04-12,168.970001,172.679993,168.149994,169.009995,163.401855,9528400
2022-04-13,170.929993,172.080002,168.289993,171.669998,165.973602,7330700
2022-04-14,170.690002,172.940002,170.559998,171.589996,165.896240,9421100
2022-04-18,173.000000,174.539993,171.869995,173.889999,168.119934,7639000
2022-04-19,173.080002,173.690002,171.029999,171.830002,166.128281,6970200
2022-04-20,171.619995,173.580002,171.460007,172.529999,166.805069,7495000
2022-04-21,171.740005,172.440002,163.830002,164.580002,159.118851,14594800
2022-04-22,164.380005,165.470001,160.860001,160.949997,155.609314,12160100
2022-04-25,155.729996,158.360001,151.360001,157.490005,152.264130,15449800
2022-04-26,158.820007,160.369995,156.389999,156.529999,151.335999,9810600
2022-04-27,157.080002,157.919998,154.520004,156.240005,151.055618,10396600
2022-04-28,157.449997,163.000000,154.929993,161.789993,156.421448,9366400
2022-04-29,161.279999,162.440002,156.289993,156.669998,151.471344,14713200
2022-05-02,156.309998,160.000000,155.149994,159.750000,154.449127,11559000
2022-05-03,159.570007,163.429993,159.259995,162.490005,157.098221,8827200
2022-05-04,164.970001,167.889999,163.470001,167.589996,162.028976,9183200
2022-05-05,169.259995,169.500000,162.649994,166.259995,160.743118,9807600
2022-05-06,168.270004,170.970001,165.419998,170.690002,165.026138,10418100
2022-05-09,167.750000,167.750000,158.479996,159.250000,153.965729,14110700
2022-05-10,162.210007,164.190002,157.869995,160.779999,155.444962,11636000
2022-05-11,163.580002,167.460007,162.509995,163.160004,157.746002,9105500
2022-05-12,163.220001,164.850006,158.860001,164.710007,159.244553,8936400
2022-05-13,166.500000,168.789993,164.880005,167.869995,162.299698,9229900
2022-05-16,169.000000,174.970001,168.860001,173.009995,167.269135,13296300
2022-05-17,174.839996,175.649994,172.610001,174.029999,168.255295,12827600
2022-05-18,174.119995,174.130005,165.789993,168.059998,163.820084,13107500
2022-05-19,164.630005,169.639999,162.830002,166.860001,162.650360,10958700
2022-05-20,168.880005,171.039993,164.089996,167.820007,163.586151,9615000
2022-05-23,169.429993,172.960007,169.110001,171.720001,167.387756,10216400
2022-05-24,170.690002,173.580002,169.809998,172.639999,168.284531,9782700
2022-05-25,173.139999,175.990005,172.970001,175.410004,170.984650,10174500
2022-05-26,176.490005,177.929993,175.009995,176.589996,172.134888,11213900
2022-05-27,176.520004,178.350006,175.690002,178.279999,173.782257,10512300
2022-05-31,179.960007,180.960007,173.470001,174.660004,170.253586,20547600
2022-06-01,176.729996,178.130005,174.940002,176.320007,171.871704,8824100
2022-06-02,174.740005,176.509995,174.100006,176.000000,171.559769,7441900
2022-06-03,176.000000,178.250000,176.000000,177.600006,173.119415,8435300
2022-06-06,177.899994,178.000000,175.509995,176.830002,172.368835,6734200
2022-06-07,177.470001,180.660004,176.919998,180.199997,175.653809,9668300
2022-06-08,180.949997,182.399994,180.250000,181.130005,176.560364,8715200
2022-06-09,180.029999,180.639999,177.389999,177.520004,173.041428,9764600
2022-06-10,176.369995,178.570007,173.649994,175.399994,170.974899,9529700
2022-06-13,171.610001,172.000000,164.059998,167.330002,163.108490,14614900
2022-06-14,169.369995,172.289993,165.839996,167.550003,163.322952,10269300
2022-06-15,166.779999,167.850006,161.940002,164.259995,160.115952,11565300
2022-06-16,159.940002,160.539993,153.750000,155.479996,151.557449,18125900
2022-06-17,154.880005,155.470001,145.789993,148.380005,144.636581,35575100
2022-06-21,152.050003,156.020004,151.440002,154.589996,150.689911,13772000
2022-06-22,148.070007,150.800003,146.330002,147.869995,144.139450,13735800
2022-06-23,148.789993,149.229996,140.149994,142.429993,138.836685,15713700
2022-06-24,145.199997,147.089996,142.600006,144.770004,141.117645,11108300
2022-06-27,145.860001,148.820007,145.600006,147.570007,143.847031,9242400
2022-06-28,150.880005,152.190002,148.110001,149.940002,146.157227,9183300
2022-06-29,151.630005,152.110001,146.089996,146.979996,143.271896,9082900
2022-06-30,144.550003,147.919998,143.410004,144.779999,141.127396,10685000
2022-07-01,146.600006,146.960007,142.470001,146.509995,142.813766,7684600
2022-07-05,143.649994,144.539993,139.410004,142.660004,139.060883,11513100
2022-07-06,141.660004,143.259995,136.800003,140.779999,137.228317,12421200
2022-07-07,144.100006,145.300003,143.080002,143.520004,139.899200,12741800
2022-07-08,144.880005,145.449997,141.089996,142.770004,139.168137,7915500
2022-07-11,141.910004,142.850006,139.929993,141.509995,137.939896,7056800
2022-07-12,138.500000,139.619995,137.259995,138.919998,135.415237,8653900
2022-07-13,137.610001,140.729996,137.139999,137.990005,134.508713,9414600
2022-07-14,134.309998,136.160004,132.539993,135.940002,132.510437,10150200
2022-07-15,138.960007,138.960007,136.429993,137.649994,134.177292,7051900
2022-07-18,140.559998,142.139999,139.080002,139.580002,136.058594,7943900
2022-07-19,139.690002,145.009995,139.419998,144.610001,140.961700,9152100
2022-07-20,144.500000,147.259995,143.320007,146.520004,142.823532,7856600
2022-07-21,143.119995,145.470001,141.500000,145.399994,141.731766,6724200
2022-07-22,145.559998,146.300003,143.419998,144.190002,140.552307,5889500
2022-07-25,145.699997,148.610001,144.179993,148.479996,144.734055,6210900
2022-07-26,149.500000,150.679993,146.529999,147.320007,143.603333,6112800
2022-07-27,148.339996,150.199997,146.660004,149.259995,145.494385,6223000
2022-07-28,150.690002,151.470001,148.029999,150.389999,146.595871,6574300
2022-07-29,156.539993,164.660004,155.899994,163.779999,159.648056,17143700
2022-08-01,161.179993,161.860001,159.149994,160.509995,156.460556,8017800
2022-08-02,160.889999,161.470001,158.300003,159.139999,155.125107,5928300
2022-08-03,159.309998,159.960007,154.350006,155.360001,151.440491,8751400
2022-08-04,155.320007,155.440002,150.729996,151.139999,147.326950,10640000
2022-08-05,149.639999,155.009995,149.020004,153.639999,149.763885,7170200
2022-08-08,153.589996,154.979996,153.149994,153.410004,149.539688,5966900
2022-08-09,155.940002,157.800003,154.600006,155.410004,151.489227,5842200
2022-08-10,156.000000,156.470001,152.929993,155.820007,151.888901,6145800
2022-08-11,158.110001,161.160004,157.619995,159.619995,155.593002,7888600
2022-08-12,158.250000,159.910004,157.139999,159.850006,155.817200,7244700
2022-08-15,155.179993,157.789993,153.440002,156.809998,152.853897,8975200
