Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,2.549000,2.584000,2.523000,2.555000,2.555000,0
2022-04-05,2.621000,2.713000,2.587000,2.696000,2.696000,0
2022-04-06,2.748000,2.760000,2.658000,2.702000,2.702000,0
2022-04-07,2.686000,2.709000,2.653000,2.691000,2.691000,0
2022-04-08,2.750000,2.791000,2.728000,2.756000,2.756000,0
2022-04-10,null,null,null,null,null,null
2022-04-11,2.814000,2.822000,2.776000,2.785000,2.785000,0
2022-04-12,2.778000,2.812000,2.635000,2.676000,2.676000,0
2022-04-13,2.688000,2.712000,2.572000,2.642000,2.642000,0
2022-04-14,2.615000,2.794000,2.615000,2.786000,2.786000,0
2022-04-17,null,null,null,null,null,null
2022-04-18,2.811000,2.811000,2.758000,2.796000,2.796000,0
2022-04-19,2.815000,2.901000,2.813000,2.889000,2.889000,0
2022-04-20,2.870000,2.903000,2.844000,2.860000,2.860000,0
2022-04-21,2.889000,3.014000,2.888000,2.979000,2.979000,0
2022-04-22,3.020000,3.029000,2.938000,2.949000,2.949000,0
2022-04-24,null,null,null,null,null,null
2022-04-25,2.857000,2.868000,2.771000,2.859000,2.859000,0
2022-04-26,2.782000,2.807000,2.754000,2.797000,2.797000,0
2022-04-27,2.761000,2.818000,2.739000,2.815000,2.815000,0
2022-04-28,2.872000,2.907000,2.823000,2.880000,2.880000,0
2022-04-29,2.887000,2.965000,2.887000,2.912000,2.912000,0
2022-05-01,null,null,null,null,null,null
2022-05-02,2.948000,3.015000,2.926000,3.010000,3.010000,0
2022-05-03,3.000000,3.010000,2.945000,3.003000,3.003000,0
2022-05-04,3.013000,3.068000,2.892000,2.896000,2.896000,0
2022-05-05,2.923000,3.058000,2.913000,3.024000,3.024000,0
2022-05-06,3.046000,3.084000,2.986000,3.043000,3.043000,0
2022-05-08,null,null,null,null,null,null
2022-05-09,3.066000,3.069000,2.956000,2.983000,2.983000,0
2022-05-10,2.905000,2.922000,2.859000,2.918000,2.918000,0
2022-05-11,2.882000,3.019000,2.864000,2.879000,2.879000,0
2022-05-12,2.816000,2.857000,2.782000,2.782000,2.782000,0
2022-05-13,2.869000,2.907000,2.847000,2.888000,2.888000,0
2022-05-15,null,null,null,null,null,null
2022-05-16,2.883000,2.883000,2.801000,2.820000,2.820000,0
2022-05-17,2.879000,2.957000,2.879000,2.946000,2.946000,0
2022-05-18,2.975000,2.998000,2.874000,2.891000,2.891000,0
2022-05-19,2.835000,2.852000,2.779000,2.847000,2.847000,0
2022-05-20,2.852000,2.864000,2.784000,2.806000,2.806000,0
2022-05-22,null,null,null,null,null,null
2022-05-23,2.835000,2.883000,2.810000,2.875000,2.875000,0
2022-05-24,2.834000,2.844000,2.721000,2.757000,2.757000,0
2022-05-25,2.731000,2.750000,2.695000,2.721000,2.721000,0
2022-05-26,2.696000,2.750000,2.677000,2.716000,2.716000,0
2022-05-27,2.699000,2.739000,2.692000,2.724000,2.724000,0
2022-05-29,null,null,null,null,null,null
2022-05-30,null,null,null,null,null,null
2022-05-31,2.811000,2.850000,2.797000,2.811000,2.811000,0
2022-06-01,2.853000,2.952000,2.819000,2.938000,2.938000,0
2022-06-02,2.925000,2.945000,2.897000,2.909000,2.909000,0
2022-06-03,2.925000,2.978000,2.922000,2.951000,2.951000,0
2022-06-05,null,null,null,null,null,null
2022-06-06,2.970000,3.039000,2.965000,3.035000,3.035000,0
2022-06-07,3.025000,3.025000,2.963000,2.984000,2.984000,0
2022-06-08,3.015000,3.049000,3.001000,3.032000,3.032000,0
2022-06-09,3.072000,3.089000,3.041000,3.063000,3.063000,0
2022-06-10,3.078000,3.259000,3.064000,3.250000,3.250000,0
2022-06-12,null,null,null,null,null,null
2022-06-13,3.418000,3.475000,3.355000,3.475000,3.475000,0
2022-06-14,3.459000,3.596000,3.396000,3.596000,3.596000,0
2022-06-15,3.485000,3.568000,3.412000,3.472000,3.472000,0
2022-06-16,3.522000,3.522000,3.363000,3.377000,3.377000,0
2022-06-17,3.289000,3.425000,3.282000,3.340000,3.340000,0
2022-06-19,null,null,null,null,null,null
2022-06-20,null,null,null,null,null,null
2022-06-21,3.376000,3.399000,3.351000,3.379000,3.379000,0
2022-06-22,3.276000,3.283000,3.202000,3.227000,3.227000,0
2022-06-23,3.167000,3.176000,3.039000,3.133000,3.133000,0
2022-06-24,3.182000,3.191000,3.095000,3.175000,3.175000,0
2022-06-26,null,null,null,null,null,null
2022-06-27,3.232000,3.290000,3.191000,3.258000,3.258000,0
2022-06-28,3.282000,3.301000,3.238000,3.260000,3.260000,0
2022-06-29,3.202000,3.248000,3.151000,3.151000,3.151000,0
2022-06-30,3.080000,3.082000,3.004000,3.004000,3.004000,0
