Date,GOOG,AAPL,XOM,CVX,VLO,S&P,FVX
04/04/2022,143.642502,177.36557,80.256088,158.915833,97.654358,449.189606,2.555
05/04/2022,141.063004,174.00592,79.841103,157.939346,98.352303,443.515747,2.696
06/04/2022,137.175995,170.79538,80.728973,159.341232,100.135948,439.080872,2.702
07/04/2022,136.464996,171.1035,82.080078,161.555252,100.165024,441.293396,2.691
08/04/2022,134.010498,169.065842,83.807579,164.291336,100.058403,440.113403,2.756
11/04/2022,129.796494,164.751984,80.921982,160.06636,97.809464,432.59082,2.756
12/04/2022,128.374496,166.650482,82.610878,163.401855,97.70282,430.988007,2.785
13/04/2022,130.285995,169.373962,83.778618,165.973602,100.756348,435.924377,2.676
14/04/2022,127.252998,164.294754,84.763,165.89624,101.648163,430.496307,2.642
18/04/2022,127.960999,164.07608,85.45787,168.119934,106.970009,430.673309,2.786
19/04/2022,130.531006,166.392044,84.69545,166.128281,104.439949,437.625519,2.786
20/04/2022,128.245499,166.223053,84.888458,166.805069,104.75985,437.300995,2.796
21/04/2022,124.9375,165.417953,83.990944,159.118851,101.696632,430.76181,2.889
22/04/2022,119.613998,160.815826,82.15728,155.609314,99.8936,418.942078,2.86
25/04/2022,123.25,161.899261,79.387512,152.26413,97.790062,421.370941,2.979
26/04/2022,119.505997,155.855881,79.416466,151.335999,101.919586,409.167694,2.949
27/04/2022,115.0205,155.627274,81.684387,151.055618,106.155731,410.318176,2.949
28/04/2022,119.411499,162.654678,84.155006,156.421448,111.991341,420.682587,2.859
29/04/2022,114.966499,156.700745,82.273102,151.471344,108.065399,405.135956,2.797
02/05/2022,117.156998,157.008881,83.392601,154.449127,113.028564,407.574677,2.815
03/05/2022,118.129501,158.51973,85.110435,157.098221,117.681549,409.442993,2.88
04/05/2022,122.574997,165.020355,88.497856,162.028976,124.302338,421.911774,2.912
05/05/2022,116.746498,155.826065,87.156395,160.743118,121.975853,406.915802,2.912
06/05/2022,115.660004,156.562683,88.488213,165.026138,125.223236,404.486969,3.01
09/05/2022,113.084,151.366486,81.510689,153.965729,114.821899,391.536438,3.003
10/05/2022,114.584503,153.805298,82.051132,155.444962,117.264725,392.441101,2.896
11/05/2022,113.960999,145.831848,83.759323,157.746002,117.684952,386.206696,3.024
12/05/2022,113.161003,141.909805,84.139557,159.244553,117.675179,385.803558,3.043
13/05/2022,116.515503,146.439056,86.635468,162.299698,121.867729,395.027252,3.043
16/05/2022,114.792503,144.876221,88.673149,167.269135,124.877777,393.424408,2.983
17/05/2022,116.7015,148.559341,89.804108,168.255295,125.151421,401.517303,2.918
18/05/2022,112.401001,140.17775,88.380669,163.820084,121.848198,385.331512,2.879
19/05/2022,110.745499,136.723587,88.858398,162.65036,121.437729,382.971497,2.782
20/05/2022,109.313004,136.962479,89.560371,163.586151,120.186813,383.138702,2.888
23/05/2022,111.666496,142.457321,91.539551,167.387756,121.144547,390.30722,2.888
24/05/2022,105.926003,139.719849,92.036781,168.284531,121.388863,387.327728,2.82
25/05/2022,105.8395,139.87912,93.889214,170.98465,124.447777,390.749725,2.946
26/05/2022,108.295998,143.124252,94.220703,172.134888,125.210052,398.557434,2.891
27/05/2022,112.799004,148.95752,95.146912,173.782257,128.816238,408.341675,2.847
31/05/2022,114.039001,148.161179,93.596733,170.253586,126.656456,406.050507,2.806
01/06/2022,114.137001,148.031769,95.390656,171.871704,129.539444,402.766113,2.806
02/06/2022,117.746002,150.52037,95.224915,171.559769,130.585144,410.436188,2.875
03/06/2022,114.564003,144.716949,96.609367,173.119415,132.344254,403.700287,2.757
06/06/2022,117.010498,145.47348,96.365623,172.368835,135.539993,404.929504,2.721
07/06/2022,117.2295,148.031769,100.782227,175.653809,141.784851,408.81366,2.716
08/06/2022,117.237999,147.285187,101.97168,176.560364,140.504608,404.368988,2.724
09/06/2022,114.917999,141.989441,99.768265,173.041428,140.152786,394.751923,2.724
10/06/2022,111.427498,136.504593,97.945068,170.974899,137.318649,383.305847,2.724
13/06/2022,106.876503,131.278519,93.450478,163.10849,128.620789,368.752411,2.811
14/06/2022,107.194,132.15451,93.694221,163.322952,130.712173,367.641266,2.938
15/06/2022,110.390503,134.812332,92.514511,160.115952,125.385979,372.882446,2.909
16/06/2022,106.636002,129.466812,89.102135,151.557449,116.043106,360.541534,2.951
17/06/2022,107.865501,130.959976,83.964066,144.636581,109.886192,361.318756,2.951
21/06/2022,112.014999,135.25032,89.18988,150.689911,113.824661,370.414459,3.035
22/06/2022,112.033997,134.732712,85.6605,144.13945,110.560516,369.74292,2.984
23/06/2022,112.684502,137.639374,83.076843,138.836685,102.155846,373.36734,3.032
24/06/2022,118.538002,141.013916,84.724541,141.117645,101.569481,385.238129,3.063
27/06/2022,116.622498,141.013916,86.801216,143.847031,109.690735,383.766632,3.25
28/06/2022,112.571503,136.813171,89.209381,146.157227,113.609657,375.925171,3.25
29/06/2022,112.2565,138.595001,85.913994,143.271896,106.377739,375.619019,3.475
30/06/2022,109.372498,136.096451,83.496078,141.127396,103.866104,372.567383,3.596
01/07/2022,109.081001,138.296356,85.358261,142.813766,105.527496,376.507874,3.472
05/07/2022,113.887001,140.914368,82.686852,139.060883,101.237198,377.218933,3.377
06/07/2022,115.213501,142.268158,81.19516,137.228317,99.399895,378.49292,3.34
07/07/2022,119.306,145.682526,83.788574,139.8992,103.924744,384.161652,3.34
08/07/2022,120.168503,146.369385,83.925064,139.168137,104.599068,383.845642,3.34
11/07/2022,116.522499,144.209274,83.496078,137.939896,105.341812,379.460785,3.379
12/07/2022,114.849503,145.194763,82.384621,135.415237,102.478355,376.102936,3.227
13/07/2022,112.186996,144.826447,82.716103,134.508713,100.064461,374.127777,3.133
14/07/2022,111.440002,147.792862,81.058662,132.510437,98.49102,373.219177,3.175
15/07/2022,112.766998,149.485092,82.423615,134.177292,102.214485,380.349609,3.175
18/07/2022,109.910004,146.399261,83.944565,136.058594,103.895416,377.209045,3.258
19/07/2022,114.620003,150.311325,86.060234,140.9617,106.270226,387.40097,3.26
20/07/2022,114.699997,152.34201,87.005951,142.823532,106.797966,389.869904,3.151
21/07/2022,115.040001,154.641495,85.553253,141.731766,101.784485,393.840057,3.004
22/07/2022,108.360001,153.387222,84.900024,140.552307,101.657433,390.185944,2.884
25/07/2022,108.209999,152.252426,87.727432,144.734055,106.837059,390.659973,2.884
26/07/2022,105.440002,150.908585,87.386192,143.603333,105.18544,386.038086,2.884
27/07/2022,113.599998,156.074905,89.277634,145.494385,108.967545,396.062103,2.815
28/07/2022,114.589996,156.632355,90.320847,146.595871,107.022743,401.029663,2.951
29/07/2022,116.639999,161.768814,94.503441,159.648056,108.25412,406.87616,3.054
01/08/2022,115.480003,160.773361,92.114784,156.460556,108.136848,405.671326,3.142
02/08/2022,115.900002,159.280212,91.71505,155.125107,110.423698,402.994965,3.142
03/08/2022,118.779999,165.372314,88.741394,151.440491,106.28318,409.305634,3.05
04/08/2022,118.870003,165.053772,85.007278,147.32695,102.85247,409.029114,3.016
05/08/2022,118.220001,164.824509,86.235725,149.763885,103.503113,408.337799,3.019
08/08/2022,118.139999,164.346024,86.723213,149.539688,104.883286,407.86377,3.063
09/08/2022,117.5,164.395859,88.322159,151.489227,109.102676,406.244141,3.051
10/08/2022,120.650002,168.702148,89.160629,151.888901,110.177238,414.776886,3.051
11/08/2022,119.82,167.954529,91.739868,155.593002,112.474236,414.776886,3.07
12/08/2022,122.650002,171.553055,92.537254,155.8172,113.55867,421.798645,3.15
15/08/2022,122.879997,172.639587,90.883392,152.853897,110.364548,423.536774,3.178
16/08/2022,122.510002,172.480087,90.036781,152.463989,111.705284,424.366364,3.01
17/08/2022,120.32,173.99527,90.765266,153.721451,116.082413,421.354218,2.873
18/08/2022,120.860001,173.596527,92.911339,156.416595,117.107681,422.578857,2.873
19/08/2022,118.120003,170.974899,92.616013,155.108368,116.871086,416.900238,2.9
22/08/2022,115.07,167.03746,92.547096,154.331299,117.442863,408.219299,2.885
23/08/2022,114.769997,166.698532,96.475014,159.337982,120.380661,407.23172,2.797
24/08/2022,114.699997,166.997574,97.04599,160.518326,120.390526,408.535339,2.703
